"","rule","id","ntad","tad","dv","loq","desc","type"
"1","SDC-2",8,0,0,".","0.1","example rule SDC-2",1
"2","SDC-2",8,0.5,0.5,"0.76",".","example rule SDC-2",0
"3","SDC-2",8,1,1,"1.42",".","example rule SDC-2",0
"4","SDC-2",8,2,2,"2.48",".","example rule SDC-2",0
"5","SDC-2",8,3,3,"3.24",".","example rule SDC-2",0
"6","SDC-2",8,4,4,"3.75",".","example rule SDC-2",0
"7","SDC-2",8,6,6,"4.27",".","example rule SDC-2",0
"8","SDC-2",8,8,8,"4.31",".","example rule SDC-2",0
"9","SDC-2",8,10,10,"4.09",".","example rule SDC-2",0
"10","SDC-2",8,12,12,".",".","example rule SDC-2",3
"11","SDC-2",8,18,18,"2.46",".","example rule SDC-2",0
"12","SDC-2",8,24,24,"1.45",".","example rule SDC-2",0
"13","SDC-2",8,36,36,"0.43",".","example rule SDC-2",0
"14","SDC-2",8,48,48,"0.11",".","example rule SDC-2",0
